title,style,alcohol_percentage,volume_centiliter,container_type,in_stock_status,price_pounds,beer_image_url,beer_details_url
Fourpure Base Camp Pils Lager,Pilsner & Hoppy Lager,4.7,33.0,Can,False,2.59,https://www.beerwulf.com/globalassets/fourpure-pils-lager.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/base-camp-pils-lager
Kehrwieder Kreativbrauerei  Prototyp Lager,Pilsner & Hoppy Lager,5.9,33.0,Bottle,False,2.89,https://www.beerwulf.com/globalassets/kehrwieder-kreativbrauerei--prototyp-lager.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/kehrwieder-kreativbrauerei--prototyp-lager.33
St. Feuillien Five,Blond Beer,5.0,33.0,Bottle,False,2.39,https://www.beerwulf.com/globalassets/st.-feuillien-fivebottle.33_14916_0.png,https://www.beerwulf.com/en-gb/p/beers/st.-feuillien-five-bottle-.33
"Paulaner Weissbier 0,0%",German Wheat Beer,0.0,33.0,Bottle,False,1.89,https://www.beerwulf.com/globalassets/paulaner-hefe-weissbier-alcoholvrij.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/paulaner-hefe-weissbier-alcohol-free.33
Fourpure Juicebox Citrus IPA,IPA,5.9,33.0,Can,False,2.69,https://www.beerwulf.com/globalassets/fourpure-juicebox-citrus-ipacan.33_14842_0.png,https://www.beerwulf.com/en-gb/p/beers/fourpure-juicebox-citrus-ipa-can
Fourpure Last Train Oatmeal Stout,Porter & Stout,5.1,33.0,Can,False,2.59,https://www.beerwulf.com/globalassets/fourpure-oatmeal-stout.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/fourpure-oatmeal--stout
Hanscraft & Co. Original Helles,Lager,5.6,33.0,Bottle,False,2.29,https://www.beerwulf.com/globalassets/hanscraft--co.-original-hellesbottle.33_15556_0.png,https://www.beerwulf.com/en-gb/p/beers/hanscraft--co.-original-helles-bottle-.33
Grisette Triple Bio,Tripel Beer,8.0,25.0,Bottle,False,2.49,https://www.beerwulf.com/globalassets/grisette-triple-bio.25_1_1.png,https://www.beerwulf.com/en-gb/p/beers/grisette-triple-bio.25
BrewDog Punk AF,Pale Ale,0.5,33.0,Can,False,2.29,https://www.beerwulf.com/globalassets/brewdog-punk-afcan.33_14953_02.png,https://www.beerwulf.com/en-gb/p/beers/brewdog-punk-af-can
"Budels Malty Dark 0,0%",Bock Beer,0.0,30.0,Bottle,False,2.49,https://www.beerwulf.com/globalassets/budels-malty-dark-00.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/budels-malty-dark-00.33
Palm 0.0,Pale Ale,0.0,25.0,Bottle,False,1.69,https://www.beerwulf.com/globalassets/palm-0.0.25_1_1.png,https://www.beerwulf.com/en-gb/p/beers/palm-0.0.25
Affligem Blond 0.0%,Blond Beer,0.0,30.0,Bottle,False,1.79,https://www.beerwulf.com/globalassets/affligem-blond-0.0_2_1.png,https://www.beerwulf.com/en-gb/p/beers/affligem-blond-0-0
Brand Weizen 0.0,German Wheat Beer,0.0,30.0,Bottle,False,1.79,https://www.beerwulf.com/globalassets/brand-weizen-0.0.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brand-weizen-0.0.3
Erdinger Alcohol vrij,German Wheat Beer,0.5,33.0,Bottle,False,1.69,https://www.beerwulf.com/globalassets/erdinger-alcohol-vrij.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/erdinger-alcohol-free33
